command,entity,field,metric,perftype,tsidxnamespace
summation,virtualmachine,"p_summation_cpu_idle_millisecond","summation_cpu_idle_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_maxlimited_millisecond","summation_cpu_maxlimited_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_overlap_millisecond","summation_cpu_overlap_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_ready_millisecond","summation_cpu_ready_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_run_millisecond","summation_cpu_run_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_system_millisecond","summation_cpu_system_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_swapwait_millisecond","summation_cpu_swapwait_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_used_millisecond","summation_cpu_used_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
summation,virtualmachine,"p_summation_cpu_wait_millisecond","summation_cpu_wait_millisecond",cpu,"vmw_perf_cpu_virtualmachine"
average,virtualmachine,"p_average_mem_active_kiloBytes","average_mem_active_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_activewrite_kiloBytes","average_mem_activewrite_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_compressed_kiloBytes","average_mem_compressed_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_compressionRate_kiloBytesPerSecond","average_mem_compressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_consumed_kiloBytes","average_mem_consumed_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_decompressionRate_kiloBytesPerSecond","average_mem_decompressionRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_entitlement_kiloBytes","average_mem_entitlement_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_granted_kiloBytes","average_mem_granted_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_heap_kiloBytes","average_mem_heap_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_heapfree_kiloBytes","average_mem_heapfree_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_latency_percent","average_mem_latency_percent",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapIn_kiloBytes","average_mem_llSwapIn_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapInRate_kiloBytesPerSecond","average_mem_llSwapInRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapOut_kiloBytes","average_mem_llSwapOut_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapOutRate_kiloBytesPerSecond","average_mem_llSwapOutRate_kiloBytesPerSecond",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_llSwapUsed_kiloBytes","average_mem_llSwapUsed_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_lowfreethreshold_kiloBytes","average_mem_lowfreethreshold_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_overhead_kiloBytes","average_mem_overhead_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_overheadMax_kiloBytes","average_mem_overheadMax_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_overheadTouched_kiloBytes","average_mem_overheadTouched_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_reservedCapacity_megaBytes","average_mem_reservedCapacity_megaBytes",mem,"vmw_perf_mem_virtualmachine"
average,virtualmachine,"p_average_mem_shared_kiloBytes","average_mem_shared_kiloBytes",mem,"vmw_perf_mem_virtualmachine"
